saa,expected_profit,profit_std,var_5,cvar_5,tail_risk
10,130835548.2043605,2094972.6275995,127184949.51336208,126527708.65173893,4307839.552621573
20,130224273.63193202,2087999.2505826524,126815137.77445479,126000194.88668603,4224078.745245993
30,130262727.02260786,2061997.431492537,126831183.97835809,125999893.2042927,4262833.818315163
40,130392231.85939862,2072067.5233205487,126947043.93546711,126145541.06632423,4246690.793074384
50,130925176.15696783,2134766.075004134,127268370.99801274,126611056.6927694,4314119.46419844
